,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Memorial_Day,nday_away_Independence_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Labor_Day,nday_away_Columbus_Day,nday_away_Thanksgiving,nday_away_New_Years_Day,nday_away_Christmas_Day,nday_away_Martin_Luther_King_Jr_Day,nday_away_anyholiday
1807,2016-04-24,0.0,0.0,0.0,2016,4,24,6,0,0.0,0,0,1,40,1,40,1,40,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,10.333333333333334,7.666666666666667,0.05293050193270875,1.0855496653299211e-05,2.0482936846887517e-05,1.5451231768499288e-27,2.0750357571818113e-18,7.469255741829046e-29,6.95213617456976e-23,1.5907704423661305e-13,3.816103628946825e-15,5.420835868877036e-10,0.05293050193270875
1808,2016-04-25,0.0,0.0,0.0,2016,4,25,0,0,0.0,1,40,1,40,1,40,1,40,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,40.0,7.666666666666667,7.666666666666667,0.06217652402211632,1.4945338524781451e-05,1.4945338524781451e-05,7.294508704739252e-28,3.8015944193905344e-18,1.603810890548638e-28,3.513136727828072e-23,9.464322195262531e-14,2.1994547780410763e-15,3.4836240728956334e-10,0.06217652402211632
1809,2016-04-26,0.0,91.0,25.0,2016,4,26,1,1,40.0,1,40,1,40,1,40,1,40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,40.0,7.666666666666667,7.666666666666667,0.07270717596764426,2.0482936846887517e-05,1.0855496653299211e-05,3.4281466917367465e-28,6.933242467194433e-18,3.4281466917367465e-28,1.7672673139340898e-23,5.605339617595758e-14,1.2619447026583566e-15,2.2285722505175572e-10,0.07270717596764426
1810,2016-04-27,0.0,35.0,7.0,2016,4,27,2,1,40.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,10.333333333333334,9.0,0.08463666150622445,2.7945321209152884e-05,7.849175678309677e-06,1.603810890548638e-28,1.2587439785341146e-17,7.294508704739252e-28,8.849930260292657e-24,3.3047967556318703e-14,7.207688734079356e-16,1.4192292867942123e-10,0.08463666150622445
1811,2016-04-28,0.0,0.0,0.0,2016,4,28,3,0,0.0,0,0,0,0,0,0,1,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,13.0,10.333333333333334,0.09807767964508253,3.795389888449303e-05,5.649744546949397e-06,7.469255741829046e-29,2.2749341707408446e-17,1.5451231768499288e-27,4.411719196996002e-24,1.939625972470827e-14,4.0980960411175916e-16,8.997229967366561e-11,0.09807767964508253
1812,2016-04-29,0.0,0.0,0.0,2016,4,29,4,0,0.0,0,0,0,0,0,0,1,40,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,13.0,10.333333333333334,0.11313897801910364,5.131379054322775e-05,4.048218864632775e-06,3.4628359020592734e-29,4.09289565372295e-17,3.2580712504375464e-27,2.1893050878062735e-24,1.1332393247975474e-14,2.3195228302435696e-16,5.678001307018091e-11,0.11313897801910364
1813,2016-04-30,0.0,0.0,0.0,2016,4,30,5,0,0.0,0,0,0,0,0,0,1,40,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,10.666666666666666,10.333333333333334,0.12992260830505947,6.906248619019833e-05,2.8875503621930407e-06,1.5981476628267853e-29,7.330319795513614e-17,6.838934727824874e-27,1.0815214096490333e-24,6.5910664926522654e-15,1.3069097000558088e-16,3.567077669253329e-11,0.12992260830505947
1814,2016-05-01,0.0,0.0,0.0,2016,5,1,6,0,0.0,0,0,0,0,0,0,1,40,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,40.0,10.666666666666666,9.0,0.14852091655171076,9.252960973638543e-05,2.050338474493025e-06,7.342303069252906e-30,1.3069097000558088e-16,1.429047782650265e-26,5.318563715269067e-25,3.816103628946825e-15,7.330319795513614e-17,2.2307970104970424e-11,0.14852091655171076
1815,2016-05-02,0.0,0.0,0.0,2016,5,2,0,0,0.0,0,0,0,0,0,0,1,40,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,10.666666666666666,9.0,0.1690133154060661,0.00012340980408667956,1.449278887147761e-06,3.3579801181420154e-30,2.3195228302435696e-16,2.972593012420696e-26,2.603658507632229e-25,2.1994547780410763e-15,4.09289565372295e-17,1.3887943864964021e-11,0.1690133154060661
1816,2016-05-03,0.0,0.0,0.0,2016,5,3,1,0,0.0,0,0,0,0,0,0,1,40,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,40.0,10.666666666666666,9.0,0.19146289967870542,0.00016385096587198604,1.0197853771706282e-06,1.5288129205360447e-30,4.0980960411175916e-16,6.155375693545423e-26,1.2688318989310368e-25,1.2619447026583566e-15,2.2749341707408446e-17,8.606890178604721e-12,0.19146289967870542
